id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2979462,dongsi_aq,2018-04-30 00:00:00,24.0,97.0,29.0,0.8,58.0,7.0
2979518,dongsi_aq,2018-04-30 01:00:00,34.0,38.0,28.0,1.1,59.0,11.0
2979574,dongsi_aq,2018-04-30 02:00:00,39.0,59.0,28.0,1.2,64.0,13.0
2979630,dongsi_aq,2018-04-30 03:00:00,38.0,53.0,21.0,1.1,81.0,11.0
2979686,dongsi_aq,2018-04-30 04:00:00,45.0,72.0,18.0,0.9,96.0,8.0
2979742,dongsi_aq,2018-04-30 05:00:00,37.0,71.0,15.0,0.7,108.0,6.0
2979798,dongsi_aq,2018-04-30 06:00:00,37.0,47.0,13.0,0.7,120.0,5.0
2979854,dongsi_aq,2018-04-30 07:00:00,28.0,58.0,15.0,0.7,126.0,5.0
2979910,dongsi_aq,2018-04-30 08:00:00,31.0,67.0,16.0,0.6,132.0,4.0
2979966,dongsi_aq,2018-04-30 09:00:00,36.0,74.0,18.0,0.7,136.0,5.0
2980022,dongsi_aq,2018-04-30 10:00:00,33.0,58.0,20.0,0.6,128.0,3.0
0000000,dongsi_aq,2018-04-30 11:00:00,32.5,62.0,24.0,0.55,117.5,2.5
2980098,dongsi_aq,2018-04-30 12:00:00,32.0,66.0,28.0,0.5,107.0,2.0
2980154,dongsi_aq,2018-04-30 13:00:00,30.0,49.0,29.0,0.5,95.0,2.0
2980210,dongsi_aq,2018-04-30 14:00:00,27.0,49.0,28.0,0.6,89.0,2.0
2980266,dongsi_aq,2018-04-30 15:00:00,33.0,39.0,33.0,0.6,73.0,3.0
2980342,dongsi_aq,2018-04-30 16:00:00,29.0,55.0,36.0,0.7,56.0,3.0
2980377,dongsi_aq,2018-04-30 17:00:00,29.0,64.0,43.0,0.8,41.0,3.0
0000000,dongsi_aq,2018-04-30 18:00:00,34.5,71.5,52.5,0.8,28.5,2.5
2980453,dongsi_aq,2018-04-30 19:00:00,40.0,79.0,62.0,0.8,16.0,2.0
2980509,dongsi_aq,2018-04-30 20:00:00,39.0,82.0,62.0,0.7,19.0,2.0
2980565,dongsi_aq,2018-04-30 21:00:00,42.0,99.0,79.0,0.6,2.0,2.0
2980621,dongsi_aq,2018-04-30 22:00:00,48.0,73.0,72.0,0.5,4.0,2.0
2980677,dongsi_aq,2018-04-30 23:00:00,81.0,338.0,39.0,0.4,39.0,2.0
2980733,dongsi_aq,2018-05-01 00:00:00,93.0,564.0,24.0,0.3,57.0,2.0
2980789,dongsi_aq,2018-05-01 01:00:00,79.0,438.0,22.0,0.3,62.0,2.0
2980845,dongsi_aq,2018-05-01 02:00:00,80.0,478.0,20.0,0.4,65.0,2.0
2980901,dongsi_aq,2018-05-01 03:00:00,93.0,466.0,17.0,0.3,68.0,2.0
2980957,dongsi_aq,2018-05-01 04:00:00,97.0,385.0,12.0,0.2,82.0,2.0
2981013,dongsi_aq,2018-05-01 05:00:00,67.0,260.0,10.0,0.2,90.0,2.0
2981069,dongsi_aq,2018-05-01 06:00:00,56.0,172.0,14.0,0.2,88.0,2.0
2981125,dongsi_aq,2018-05-01 07:00:00,32.0,112.0,17.0,0.2,81.0,2.0
2981181,dongsi_aq,2018-05-01 08:00:00,31.0,149.0,20.0,0.3,83.0,2.0
2981237,dongsi_aq,2018-05-01 09:00:00,33.0,141.0,17.0,0.3,90.0,2.0
2981293,dongsi_aq,2018-05-01 10:00:00,29.0,90.0,21.0,0.3,78.0,2.0
2981349,dongsi_aq,2018-05-01 11:00:00,30.0,150.0,24.0,0.3,66.0,2.0
0000000,dongsi_aq,2018-05-01 12:00:00,27.0,167.0,29.5,0.35,58.0,2.0
2981425,dongsi_aq,2018-05-01 13:00:00,24.0,184.0,35.0,0.4,50.0,2.0
2981481,dongsi_aq,2018-05-01 14:00:00,31.0,44.0,25.0,0.6,61.0,2.0
2981537,dongsi_aq,2018-05-01 15:00:00,41.0,0,34.0,0.6,44.0,2.0
2981613,dongsi_aq,2018-05-01 16:00:00,35.0,92.0,34.0,0.6,42.0,2.0
2981648,dongsi_aq,2018-05-01 17:00:00,33.0,48.0,38.0,0.4,31.0,2.0
2981704,dongsi_aq,2018-05-01 18:00:00,31.0,72.0,46.0,0.4,13.0,2.0
2981760,dongsi_aq,2018-05-01 19:00:00,28.0,52.0,57.0,0.4,5.0,2.0
2981816,dongsi_aq,2018-05-01 20:00:00,21.0,0,49.0,0.3,27.0,2.0
2981872,dongsi_aq,2018-05-01 21:00:00,18.0,24.0,57.0,0.3,14.0,2.0
2981928,dongsi_aq,2018-05-01 22:00:00,17.0,31.0,57.0,0.3,12.0,2.0
0000000,dongsi_aq,2018-05-01 23:00:00,22.5,15.5,44.0,0.3,31.5,2.0
2982004,dongsi_aq,2018-05-02 00:00:00,28.0,0,31.0,0.3,51.0,2.0
2982060,dongsi_aq,2018-05-02 01:00:00,35.0,0,16.0,0.2,75.0,2.0
0000000,dongsi_aq,2018-05-02 02:00:00,28.5,0.0,11.5,0.15,87.0,2.0
2982136,dongsi_aq,2018-05-02 03:00:00,22.0,0,7.0,0.1,99.0,2.0
2982192,dongsi_aq,2018-05-02 04:00:00,32.0,0,8.0,0.1,102.0,2.0
2982248,dongsi_aq,2018-05-02 05:00:00,24.0,0,7.0,0.1,108.0,2.0
2982304,dongsi_aq,2018-05-02 06:00:00,20.0,0,9.0,0.1,109.0,2.0
2982360,dongsi_aq,2018-05-02 07:00:00,14.0,25.0,10.0,0.1,109.0,2.0
2982416,dongsi_aq,2018-05-02 08:00:00,22.0,36.0,11.0,0.1,105.0,2.0
