id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2979498,CD1,2018-04-30 00:00:00,6.2,8.6,6.1,0,0,0
2979554,CD1,2018-04-30 01:00:00,5.4,8.1,4.7,0,0,0
2979610,CD1,2018-04-30 02:00:00,8.6,10.3,3.2,0,0,0
2979666,CD1,2018-04-30 03:00:00,5.0,6.1,5.5,0,0,0
2979722,CD1,2018-04-30 04:00:00,4.8,6.3,11.4,0,0,0
2979778,CD1,2018-04-30 05:00:00,6.4,15.4,44.6,0,0,0
2979834,CD1,2018-04-30 06:00:00,10.9,15.8,53.5,0,0,0
2979890,CD1,2018-04-30 07:00:00,6.8,19.9,56.5,0,0,0
2979946,CD1,2018-04-30 08:00:00,11.0,19.8,62.4,0,0,0
2980002,CD1,2018-04-30 09:00:00,9.6,14.9,56.5,0,0,0
2980058,CD1,2018-04-30 10:00:00,12.2,15.1,62.8,0,0,0
2980078,CD1,2018-04-30 11:00:00,12.7,20.0,65.8,0,0,0
2980134,CD1,2018-04-30 12:00:00,12.8,19.1,64.3,0,0,0
2980190,CD1,2018-04-30 13:00:00,13.7,22.5,63.3,0,0,0
2980246,CD1,2018-04-30 14:00:00,11.1,18.5,74.6,0,0,0
2980302,CD1,2018-04-30 15:00:00,13.3,20.4,117.1,0,0,0
2980322,CD1,2018-04-30 16:00:00,11.2,24.2,79.3,0,0,0
2980413,CD1,2018-04-30 17:00:00,13.3,23.0,87.4,0,0,0
2980433,CD1,2018-04-30 18:00:00,13.8,22.8,81.3,0,0,0
2980489,CD1,2018-04-30 19:00:00,12.1,20.4,70.4,0,0,0
2980545,CD1,2018-04-30 20:00:00,10.5,18.1,62.7,0,0,0
2980601,CD1,2018-04-30 21:00:00,16.2,18.5,68.7,0,0,0
2980657,CD1,2018-04-30 22:00:00,14.5,20.0,170.9,0,0,0
2980713,CD1,2018-04-30 23:00:00,11.7,14.5,75.4,0,0,0
2980769,CD1,2018-05-01 00:00:00,7.5,10.8,83.5,0,0,0
2980825,CD1,2018-05-01 01:00:00,8.4,11.6,55.1,0,0,0
2980881,CD1,2018-05-01 02:00:00,8.4,11.0,38.0,0,0,0
2980937,CD1,2018-05-01 03:00:00,7.6,8.2,35.6,0,0,0
2980993,CD1,2018-05-01 04:00:00,11.8,12.7,58.3,0,0,0
2981049,CD1,2018-05-01 05:00:00,10.8,15.6,64.6,0,0,0
2981105,CD1,2018-05-01 06:00:00,12.3,16.6,57.3,0,0,0
2981161,CD1,2018-05-01 07:00:00,13.5,25.9,60.5,0,0,0
2981217,CD1,2018-05-01 08:00:00,13.6,25.1,59.4,0,0,0
2981273,CD1,2018-05-01 09:00:00,11.1,23.8,50.9,0,0,0
2981329,CD1,2018-05-01 10:00:00,9.7,19.3,44.1,0,0,0
2981385,CD1,2018-05-01 11:00:00,10.4,26.7,38.8,0,0,0
2981405,CD1,2018-05-01 12:00:00,10.8,13.3,40.3,0,0,0
2981461,CD1,2018-05-01 13:00:00,11.8,14.1,41.6,0,0,0
2981517,CD1,2018-05-01 14:00:00,10.4,12.6,42.4,0,0,0
2981573,CD1,2018-05-01 15:00:00,10.7,13.8,49.4,0,0,0
2981593,CD1,2018-05-01 16:00:00,13.5,14.5,51.3,0,0,0
2981684,CD1,2018-05-01 17:00:00,9.9,12.0,44.4,0,0,0
2981740,CD1,2018-05-01 18:00:00,8.0,13.1,49.0,0,0,0
2981796,CD1,2018-05-01 19:00:00,10.1,12.6,39.8,0,0,0
2981852,CD1,2018-05-01 20:00:00,8.2,12.7,44.6,0,0,0
2981908,CD1,2018-05-01 21:00:00,9.2,12.7,54.0,0,0,0
2981964,CD1,2018-05-01 22:00:00,9.4,11.0,49.8,0,0,0
2981984,CD1,2018-05-01 23:00:00,8.1,9.9,42.9,0,0,0
2982040,CD1,2018-05-02 00:00:00,6.7,10.6,26.3,0,0,0
2982096,CD1,2018-05-02 01:00:00,7.2,11.9,17.7,0,0,0
2982116,CD1,2018-05-02 02:00:00,5.7,6.3,9.5,0,0,0
2982172,CD1,2018-05-02 03:00:00,7.5,8.4,9.8,0,0,0
2982228,CD1,2018-05-02 04:00:00,5.9,8.2,11.9,0,0,0
2982284,CD1,2018-05-02 05:00:00,5.1,9.1,28.3,0,0,0
2982340,CD1,2018-05-02 06:00:00,8.2,11.8,39.8,0,0,0
2982396,CD1,2018-05-02 07:00:00,5.8,10.3,51.8,0,0,0
2982452,CD1,2018-05-02 08:00:00,6.3,9.1,44.1,0,0,0
2982508,CD1,2018-05-02 09:00:00,4.7,7.3,38.2,0,0,0
2982564,CD1,2018-05-02 10:00:00,4.8,6.2,43.0,0,0,0
2982620,CD1,2018-05-02 11:00:00,7.0,5.5,42.3,0,0,0
2982676,CD1,2018-05-02 12:00:00,8.7,10.0,54.6,0,0,0
2982732,CD1,2018-05-02 13:00:00,9.2,9.0,33.0,0,0,0
2982788,CD1,2018-05-02 14:00:00,6.3,8.2,37.0,0,0,0
2982844,CD1,2018-05-02 15:00:00,3.7,7.3,45.2,0,0,0
2982864,CD1,2018-05-02 16:00:00,6.8,7.1,38.0,0,0,0
2982955,CD1,2018-05-02 17:00:00,8.9,11.9,57.1,0,0,0
2983011,CD1,2018-05-02 18:00:00,6.7,14.7,58.0,0,0,0
2983067,CD1,2018-05-02 19:00:00,6.1,6.1,36.4,0,0,0
2983087,CD1,2018-05-02 20:00:00,10.6,10.5,62.0,0,0,0
2983143,CD1,2018-05-02 21:00:00,12.2,16.8,86.1,0,0,0
2983199,CD1,2018-05-02 22:00:00,13.0,17.6,117.1,0,0,0
2983219,CD1,2018-05-02 23:00:00,14.2,14.4,112.1,0,0,0
2983275,CD1,2018-05-03 00:00:00,8.7,12.3,85.7,0,0,0
2983295,CD1,2018-05-03 01:00:00,3.3,12.5,62.4,0,0,0
2983351,CD1,2018-05-03 02:00:00,-0.1,13.3,93.8,0,0,0
2983407,CD1,2018-05-03 03:00:00,-0.6,16.0,45.3,0,0,0
2983463,CD1,2018-05-03 04:00:00,-2.6,15.5,52.8,0,0,0
2983519,CD1,2018-05-03 05:00:00,-1.4,22.0,60.3,0,0,0
2983575,CD1,2018-05-03 06:00:00,0.4,22.2,61.8,0,0,0
2983631,CD1,2018-05-03 07:00:00,2.8,29.8,66.4,0,0,0
2983687,CD1,2018-05-03 08:00:00,-1.7,30.0,83.7,0,0,0
2983743,CD1,2018-05-03 09:00:00,0.2,31.5,79.6,0,0,0
2983799,CD1,2018-05-03 10:00:00,1.9,18.8,58.8,0,0,0
2983855,CD1,2018-05-03 11:00:00,-1.5,18.2,51.1,0,0,0
2983911,CD1,2018-05-03 12:00:00,-3.7,16.4,50.4,0,0,0
2983967,CD1,2018-05-03 13:00:00,0.5,21.6,45.0,0,0,0
2984023,CD1,2018-05-03 14:00:00,0,14.9,50.8,0,0,0
2984079,CD1,2018-05-03 15:00:00,0,13.6,62.8,0,0,0
2984099,CD1,2018-05-03 16:00:00,0,15.7,57.5,0,0,0
2984190,CD1,2018-05-03 17:00:00,0,18.1,52.3,0,0,0
2984246,CD1,2018-05-03 18:00:00,0,17.2,43.2,0,0,0
2984302,CD1,2018-05-03 19:00:00,0,17.2,54.6,0,0,0
2984358,CD1,2018-05-03 20:00:00,0,19.6,52.3,0,0,0
2984414,CD1,2018-05-03 21:00:00,0,16.8,64.8,0,0,0
2984470,CD1,2018-05-03 22:00:00,0,16.6,61.3,0,0,0
2984526,CD1,2018-05-03 23:00:00,0,18.4,62.1,0,0,0
2984582,CD1,2018-05-04 00:00:00,0,14.1,49.7,0,0,0
2984638,CD1,2018-05-04 01:00:00,0,14.7,36.1,0,0,0
2984694,CD1,2018-05-04 02:00:00,0,15.6,53.3,0,0,0
2984750,CD1,2018-05-04 03:00:00,0,14.9,46.3,0,0,0
2984806,CD1,2018-05-04 04:00:00,0,19.1,55.2,0,0,0
2984862,CD1,2018-05-04 05:00:00,0,25.2,75.7,0,0,0
2984918,CD1,2018-05-04 06:00:00,0,28.2,76.5,0,0,0
2984974,CD1,2018-05-04 07:00:00,0,31.1,79.7,0,0,0
2985030,CD1,2018-05-04 08:00:00,0,22.1,59.3,0,0,0
2985086,CD1,2018-05-04 09:00:00,0,23.5,50.2,0,0,0
2985142,CD1,2018-05-04 10:00:00,0,23.2,57.2,0,0,0
2985198,CD1,2018-05-04 11:00:00,0,23.5,45.5,0,0,0
2985254,CD1,2018-05-04 12:00:00,0,27.6,64.0,0,0,0
2985310,CD1,2018-05-04 13:00:00,0,24.2,71.9,0,0,0
2985366,CD1,2018-05-04 14:00:00,0,19.7,61.9,0,0,0
2985422,CD1,2018-05-04 15:00:00,0,26.2,91.8,0,0,0
2985442,CD1,2018-05-04 16:00:00,0,25.7,92.5,0,0,0
2985498,CD1,2018-05-04 17:00:00,0,32.3,106.6,0,0,0
2985554,CD1,2018-05-04 18:00:00,0,28.7,97.4,0,0,0
2985574,CD1,2018-05-04 19:00:00,0,35.2,90.8,0,0,0
2985630,CD1,2018-05-04 20:00:00,0,36.6,79.2,0,0,0
2985686,CD1,2018-05-04 21:00:00,0,26.8,68.2,0,0,0
